step,moves,tau,entropy,gini,drift
1,1483,0.273869,0.968961,0.428914,0.362374
2,446,0.441195,0.710983,0.322390,0.235408
3,150,0.528280,0.536959,0.245997,0.153711
4,73,0.581700,0.451777,0.208018,0.096609
5,66,0.607683,0.403265,0.185959,0.070244
6,36,0.625594,0.375516,0.173539,0.054022
7,42,0.636910,0.352128,0.162820,0.046186
8,50,0.645711,0.330108,0.152861,0.041999
9,41,0.653093,0.312391,0.144842,0.039775
10,35,0.659843,0.298354,0.138579,0.035974
11,25,0.665476,0.287276,0.133422,0.034830
12,27,0.670536,0.274106,0.127393,0.033201
13,27,0.674927,0.265018,0.123317,0.032914
14,31,0.679468,0.250422,0.116698,0.032605
15,28,0.683708,0.241740,0.112653,0.032261
16,30,0.687404,0.232048,0.108164,0.032388
