step,moves,tau,entropy,gini,drift
1,971,0.136946,0.818229,0.370098,0.271038
2,570,0.323555,0.533783,0.245244,0.215842
3,212,0.449832,0.416474,0.191389,0.156492
4,77,0.529205,0.360554,0.165690,0.113312
5,61,0.566940,0.322666,0.148433,0.095447
6,50,0.593175,0.292019,0.134829,0.077523
7,38,0.614333,0.273791,0.126700,0.067117
8,29,0.632803,0.264472,0.122440,0.057733
9,34,0.648225,0.253090,0.116900,0.049943
10,25,0.661304,0.243099,0.112546,0.044097
11,27,0.672964,0.236136,0.109287,0.037589
12,29,0.683198,0.224916,0.104139,0.031683
13,29,0.691476,0.218511,0.101171,0.027500
14,29,0.697168,0.209523,0.097133,0.023901
15,24,0.701650,0.203653,0.094267,0.022452
16,26,0.705377,0.192071,0.088960,0.021783
