step,moves,tau,entropy,gini,drift
1,423,0.128485,0.881755,0.394922,0.271851
2,243,0.314315,0.557236,0.255167,0.222246
3,97,0.441504,0.415557,0.190648,0.160829
4,41,0.524132,0.356584,0.163452,0.117639
5,37,0.564220,0.310435,0.142938,0.099081
6,22,0.593295,0.292837,0.134646,0.081307
7,22,0.618637,0.263716,0.121661,0.070955
8,16,0.637693,0.244640,0.112920,0.061456
9,9,0.654485,0.234738,0.108241,0.053194
10,12,0.670438,0.225062,0.103451,0.044027
11,11,0.682324,0.210954,0.097414,0.038716
12,12,0.691665,0.201256,0.093012,0.032150
13,8,0.700066,0.192754,0.089321,0.027680
14,11,0.704902,0.183444,0.084860,0.026504
15,13,0.708573,0.171594,0.079474,0.025995
16,8,0.712161,0.161582,0.075022,0.023647
