step,moves,tau,entropy,gini,drift
1,109,0.484723,1.131329,0.492987,0.302578
2,25,0.579852,0.957289,0.423582,0.192895
3,9,0.619337,0.854591,0.380851,0.127560
4,2,0.640980,0.796935,0.356437,0.088920
5,2,0.653145,0.760385,0.340605,0.064581
6,1,0.660421,0.731964,0.328300,0.049613
7,0,0.665397,0.714427,0.320965,0.037976
8,1,0.668852,0.705102,0.316956,0.028789
9,0,0.671219,0.696360,0.313037,0.023279
10,1,0.672976,0.690373,0.310469,0.018545
11,1,0.674377,0.684140,0.307729,0.015853
12,0,0.675507,0.680385,0.306077,0.012329
