step,moves,tau,entropy,gini,drift
1,4770,0.250000,1.078984,0.474177,0.000000
2,5301,0.428571,0.707246,0.320674,0.000000
3,5106,0.625000,0.555654,0.245408,0.000000
4,4682,0.714286,0.522926,0.229090,0.000000
5,5055,0.750000,0.537418,0.234672,0.000000
6,4751,0.714286,0.428782,0.188079,0.000000
7,5150,0.833333,0.546386,0.237015,0.000000
8,4922,0.714286,0.398225,0.174925,0.000000
9,4859,0.833333,0.475209,0.206515,0.000000
10,5271,0.800000,0.464929,0.202820,0.000000
11,5246,0.800000,0.453927,0.197991,0.000000
12,5127,0.800000,0.427042,0.186494,0.000000
