step,moves,tau,entropy,gini,drift
1,757,0.150221,0.976720,0.432100,0.310415
2,301,0.319778,0.730231,0.327702,0.235700
3,63,0.452452,0.592034,0.268140,0.156362
4,13,0.526344,0.514103,0.235060,0.113534
5,3,0.569632,0.467792,0.214982,0.087536
6,0,0.596742,0.447464,0.206308,0.067723
7,0,0.616897,0.426331,0.196824,0.052999
8,0,0.630145,0.408030,0.188648,0.043529
9,1,0.640303,0.397597,0.184307,0.035596
10,0,0.647750,0.392594,0.182181,0.030103
11,0,0.653506,0.386941,0.179669,0.026069
12,0,0.658041,0.379635,0.176529,0.021725
13,0,0.662261,0.374621,0.174225,0.018392
14,0,0.665224,0.370372,0.172263,0.016541
15,0,0.667666,0.367469,0.170743,0.013327
16,0,0.669807,0.364676,0.169578,0.012240
