step,moves,tau,entropy,gini,drift
1,878,0.250000,1.032815,0.456843,0.000000
2,928,0.428571,0.684196,0.310365,0.000000
3,899,0.625000,0.538566,0.238402,0.000000
4,946,0.750000,0.601135,0.261544,0.000000
5,964,0.714286,0.499731,0.219788,0.000000
6,919,0.750000,0.482460,0.210661,0.000000
7,881,0.750000,0.424014,0.186472,0.000000
8,961,0.833333,0.529959,0.230095,0.000000
9,932,0.714286,0.393641,0.173575,0.000000
10,896,0.833333,0.478327,0.207397,0.000000
11,911,0.750000,0.389542,0.171845,0.000000
12,924,0.833333,0.465209,0.201787,0.000000
13,956,0.800000,0.431176,0.189271,0.000000
14,927,0.800000,0.419386,0.183441,0.000000
15,957,0.833333,0.465104,0.202243,0.000000
16,908,0.750000,0.397298,0.174731,0.000000
