step,moves,tau,entropy,gini,drift
1,3481,0.250000,1.060614,0.466979,0.000000
2,3785,0.428571,0.694732,0.315347,0.000000
3,3695,0.625000,0.559965,0.247331,0.000000
4,3474,0.714286,0.551905,0.240747,0.000000
5,3904,0.750000,0.577482,0.251823,0.000000
6,3724,0.714286,0.471362,0.206546,0.000000
7,3748,0.800000,0.529114,0.229889,0.000000
8,3925,0.750000,0.484325,0.211965,0.000000
9,3562,0.750000,0.430284,0.188356,0.000000
10,3841,0.833333,0.513161,0.222711,0.000000
11,3904,0.750000,0.449122,0.196159,0.000000
12,3707,0.800000,0.431059,0.188224,0.000000
