step,moves,tau,entropy,gini,drift
1,5,0.493995,1.124461,0.492002,0.286803
2,1,0.585532,0.942588,0.419183,0.198349
3,3,0.626293,0.850593,0.378893,0.123289
4,1,0.646337,0.787199,0.351692,0.084648
5,3,0.658907,0.744645,0.332494,0.066773
6,1,0.666117,0.713206,0.318878,0.050117
7,0,0.671272,0.696394,0.310683,0.037893
8,0,0.674777,0.690061,0.308160,0.030694
9,0,0.677123,0.686174,0.306583,0.021340
10,0,0.678717,0.682964,0.305511,0.017969
11,0,0.680155,0.677939,0.303425,0.012807
12,0,0.680946,0.676546,0.302491,0.010362
13,0,0.681661,0.674152,0.301391,0.008760
14,0,0.682111,0.668137,0.298856,0.008613
15,0,0.682587,0.665743,0.297818,0.008245
16,0,0.683265,0.660072,0.295355,0.007252
