step,moves,tau,entropy,gini,drift
1,3495,0.250000,1.069715,0.471346,0.000000
2,3806,0.428571,0.703197,0.319906,0.000000
3,3664,0.625000,0.559820,0.247943,0.000000
4,3432,0.714286,0.554202,0.241974,0.000000
5,3879,0.750000,0.587631,0.255678,0.000000
6,3762,0.714286,0.488667,0.214341,0.000000
7,3873,0.800000,0.528729,0.230334,0.000000
8,3889,0.750000,0.484936,0.212354,0.000000
9,3591,0.750000,0.427673,0.187364,0.000000
10,3815,0.833333,0.509198,0.221295,0.000000
11,3837,0.750000,0.428710,0.188083,0.000000
12,3608,0.800000,0.439861,0.191957,0.000000
