step,moves,tau,entropy,gini,drift
1,371,0.358745,1.096306,0.479411,0.320138
2,20,0.502733,0.921320,0.409436,0.202456
3,4,0.568934,0.797527,0.357764,0.136878
4,0,0.605277,0.715465,0.322439,0.095374
5,2,0.625247,0.668875,0.302117,0.070462
6,1,0.637294,0.642559,0.290840,0.053040
7,1,0.645370,0.625014,0.283410,0.040722
8,1,0.651082,0.606784,0.275536,0.031858
9,0,0.654956,0.599085,0.272119,0.025471
10,1,0.658046,0.590817,0.268341,0.022068
11,1,0.660313,0.583449,0.265164,0.018302
12,0,0.662254,0.576861,0.262264,0.016617
13,0,0.664097,0.571836,0.260098,0.014463
14,0,0.665532,0.568241,0.258483,0.011233
15,0,0.666637,0.566460,0.257764,0.009451
16,0,0.667453,0.564430,0.256916,0.008287
