step,moves,tau,entropy,gini,drift
1,3530,0.146064,0.926707,0.410602,0.315995
2,1473,0.327645,0.651869,0.294781,0.236370
3,405,0.460712,0.514756,0.234854,0.160289
4,99,0.534659,0.449245,0.206276,0.114691
5,28,0.575410,0.422404,0.194643,0.090496
6,8,0.604433,0.398003,0.183898,0.069522
7,1,0.624433,0.379958,0.175923,0.054881
8,4,0.638740,0.367315,0.170279,0.043739
9,5,0.648800,0.354737,0.164666,0.036430
10,5,0.656678,0.346858,0.161058,0.030383
11,2,0.662521,0.341792,0.158824,0.025602
12,5,0.667344,0.337178,0.156641,0.022184
