step,moves,tau,entropy,gini,drift
1,467,0.274714,0.985885,0.437190,0.355123
2,128,0.437226,0.758855,0.342835,0.226070
3,29,0.519276,0.603065,0.274964,0.146959
4,12,0.566779,0.499856,0.229016,0.095553
5,6,0.593347,0.461522,0.212028,0.065820
6,12,0.607966,0.440157,0.202539,0.050819
7,3,0.617873,0.426067,0.196361,0.039865
8,4,0.625147,0.415319,0.191445,0.031760
9,3,0.629844,0.403166,0.186081,0.026924
10,2,0.633543,0.395602,0.182478,0.023529
11,5,0.637041,0.385614,0.177908,0.022333
12,3,0.640179,0.377310,0.174253,0.021769
13,5,0.643623,0.368240,0.170377,0.020440
14,1,0.647008,0.359177,0.166630,0.018992
15,4,0.650197,0.353962,0.164178,0.018284
16,6,0.652742,0.346530,0.160845,0.020150
