step,moves,tau,entropy,gini,drift
1,3918,0.130294,0.842473,0.378217,0.271213
2,2428,0.321630,0.531226,0.243923,0.217966
3,928,0.451251,0.407118,0.186997,0.158519
4,398,0.530454,0.347659,0.160218,0.117683
5,239,0.568998,0.310915,0.143635,0.096472
6,185,0.596425,0.290160,0.134063,0.077902
7,157,0.617506,0.271589,0.125714,0.066110
8,142,0.635349,0.258286,0.119594,0.057721
9,141,0.650119,0.245314,0.113748,0.051281
10,135,0.663208,0.234777,0.108846,0.045624
11,133,0.675066,0.225222,0.104457,0.040047
12,110,0.686174,0.214853,0.099754,0.032701
