variant,size,seed,layers,similarity,total_clusters,num_clusters_red,num_clusters_green,num_clusters_blue,largest_red,largest_green,largest_blue,total_red,total_green,total_blue,frac_largest_red,frac_largest_green,frac_largest_blue
with_influencer,40,42,1,hybrid,35,12,15,8,111,133,136,400,450,409,0.277500,0.295556,0.332518
without_influencer,40,20,3,hybrid,108,37,46,25,149,87,169,395,337,513,0.377215,0.258160,0.329435
with_influencer,40,42,2,hybrid,35,13,12,10,186,217,125,392,482,385,0.474490,0.450207,0.324675
without_influencer,40,20,2,hybrid,81,32,32,17,143,114,274,365,377,503,0.391781,0.302387,0.544732
with_influencer,40,20,1,hybrid,37,12,13,12,188,111,121,436,377,432,0.431193,0.294430,0.280093
with_influencer,40,20,2,hybrid,31,8,14,9,166,127,244,384,387,474,0.432292,0.328165,0.514768
with_influencer,40,42,3,hybrid,27,7,11,9,258,194,117,475,420,364,0.543158,0.461905,0.321429
baseline,40,22,1,cosine,97,33,33,31,119,301,133,419,420,402,0.284010,0.716667,0.330846
with_influencer,40,20,3,hybrid,30,12,11,7,163,119,252,405,317,523,0.402469,0.375394,0.481836
baseline,40,605,1,cosine,125,40,49,36,221,257,89,408,398,420,0.541667,0.645729,0.211905
without_influencer,40,17,1,hybrid,39,14,11,14,200,238,214,382,473,390,0.523560,0.503171,0.548718
without_influencer,40,17,2,hybrid,84,34,30,20,202,160,137,409,397,439,0.493888,0.403023,0.312073
without_influencer,40,17,3,hybrid,112,32,49,31,220,171,118,433,413,399,0.508083,0.414044,0.295739
baseline,40,70,1,cosine,151,49,55,47,194,220,104,394,443,408,0.492386,0.496614,0.254902
with_influencer,40,17,1,hybrid,30,10,11,9,177,93,130,396,457,392,0.446970,0.203501,0.331633
without_influencer,40,22,1,hybrid,50,17,16,17,171,181,118,446,449,346,0.383408,0.403118,0.341040
without_influencer,40,22,3,hybrid,111,32,29,50,255,194,76,485,484,272,0.525773,0.400826,0.279412
with_influencer,40,17,2,hybrid,31,11,11,9,213,164,222,411,433,401,0.518248,0.378753,0.553616
with_influencer,40,17,3,hybrid,25,10,7,8,133,254,112,399,432,414,0.333333,0.587963,0.270531
without_influencer,40,22,2,hybrid,70,21,18,31,244,200,71,468,489,284,0.521368,0.408998,0.250000
with_influencer,40,22,1,hybrid,35,11,12,12,156,185,124,412,438,391,0.378641,0.422374,0.317136
with_influencer,40,22,2,hybrid,46,14,16,16,129,196,124,410,460,371,0.314634,0.426087,0.334232
without_influencer,40,605,1,hybrid,43,11,18,14,272,211,113,456,347,423,0.596491,0.608069,0.267139
with_influencer,40,22,3,hybrid,26,10,8,8,278,401,104,485,514,242,0.573196,0.780156,0.429752
without_influencer,40,605,2,hybrid,78,21,28,29,341,234,139,468,388,370,0.728632,0.603093,0.375676
without_influencer,40,605,3,hybrid,105,33,37,35,243,213,144,463,357,406,0.524838,0.596639,0.354680
with_influencer,40,605,1,hybrid,41,14,12,15,214,249,180,430,378,418,0.497674,0.658730,0.430622
with_influencer,40,605,2,hybrid,31,10,10,11,363,203,169,469,342,415,0.773987,0.593567,0.407229
without_influencer,40,70,1,hybrid,52,16,16,20,75,149,104,365,492,388,0.205479,0.302846,0.268041
with_influencer,40,605,3,hybrid,28,7,12,9,387,254,177,483,350,393,0.801242,0.725714,0.450382
without_influencer,40,70,2,hybrid,81,34,22,25,49,327,198,299,525,421,0.163880,0.622857,0.470309
without_influencer,40,70,3,hybrid,102,39,32,31,62,269,192,312,550,383,0.198718,0.489091,0.501305
with_influencer,40,70,1,hybrid,38,14,9,15,75,179,72,375,464,406,0.200000,0.385776,0.177340
with_influencer,40,70,2,hybrid,34,13,9,12,76,187,138,323,494,428,0.235294,0.378543,0.322430
with_influencer,40,70,3,hybrid,31,11,8,12,83,201,80,343,515,387,0.241983,0.390291,0.206718
baseline,60,11,1,cosine,298,99,98,101,288,144,150,952,967,939,0.302521,0.148914,0.159744
baseline,60,42,1,cosine,280,92,96,92,274,466,191,892,957,966,0.307175,0.486938,0.197723
baseline,60,20,1,cosine,263,95,74,94,215,206,270,915,887,1012,0.234973,0.232244,0.266798
baseline,60,17,1,cosine,279,88,99,92,225,175,372,924,984,911,0.243506,0.177846,0.408342
without_influencer,60,11,3,hybrid,218,60,71,87,473,220,123,1000,1088,770,0.473000,0.202206,0.159740
without_influencer,60,42,1,hybrid,88,35,26,27,139,139,239,848,899,1068,0.163915,0.154616,0.223783
without_influencer,60,11,1,hybrid,93,29,25,39,214,249,133,944,993,921,0.226695,0.250755,0.144408
without_influencer,60,11,2,hybrid,160,52,35,73,368,250,136,973,1081,804,0.378212,0.231267,0.169154
with_influencer,60,11,1,hybrid,81,22,25,34,264,161,152,956,1002,900,0.276151,0.160679,0.168889
