variant,size,seed,layers,similarity,species,num_clusters,cluster_sizes
with_influencer,20,17,1,hybrid,red,6,48;27;13;13;4;2
with_influencer,20,17,1,hybrid,green,6,27;26;26;21;19;1
with_influencer,20,17,1,hybrid,blue,4,46;24;12;11
with_influencer,20,17,2,hybrid,red,4,55;21;17;8
with_influencer,20,17,2,hybrid,green,3,92;33;27
with_influencer,20,17,2,hybrid,blue,4,29;16;14;8
with_influencer,20,17,3,hybrid,red,3,53;28;18
with_influencer,20,17,3,hybrid,green,3,87;31;26
with_influencer,20,17,3,hybrid,blue,2,60;17
without_influencer,20,22,1,hybrid,red,6,51;38;8;4;1;1
without_influencer,20,22,1,hybrid,green,7,33;29;5;3;1;1;1
without_influencer,20,22,1,hybrid,blue,8,59;33;15;7;5;2;1;1
without_influencer,20,22,2,hybrid,red,10,67;27;8;4;1;1;1;1;1;1
without_influencer,20,22,2,hybrid,green,8,68;10;6;2;1;1;1;1
without_influencer,20,22,2,hybrid,blue,11,46;36;4;3;2;1;1;1;1;1;1
without_influencer,20,22,3,hybrid,red,11,71;34;1;1;1;1;1;1;1;1;1
without_influencer,20,22,3,hybrid,green,15,51;8;4;4;2;2;1;1;1;1;1;1;1;1;1
without_influencer,20,22,3,hybrid,blue,12,51;41;3;2;1;1;1;1;1;1;1;1
with_influencer,20,22,1,hybrid,red,6,42;39;11;8;4;1
with_influencer,20,22,1,hybrid,green,6,34;32;10;8;4;3
with_influencer,20,22,1,hybrid,blue,3,54;43;6
with_influencer,20,22,2,hybrid,red,5,36;31;12;9;8
with_influencer,20,22,2,hybrid,green,4,68;9;6;4
with_influencer,20,22,2,hybrid,blue,5,62;31;17;4;2
with_influencer,20,22,3,hybrid,red,5,49;31;23;8;7
with_influencer,20,22,3,hybrid,green,6,47;19;12;10;4;1
with_influencer,20,22,3,hybrid,blue,3,50;35;3
without_influencer,20,605,1,hybrid,red,6,46;44;17;14;1;1
without_influencer,20,605,1,hybrid,green,7,51;51;7;5;3;2;1
without_influencer,20,605,1,hybrid,blue,11,25;12;9;7;7;4;2;2;2;1;1
baseline,20,70,1,cosine,red,13,82;17;2;1;1;1;1;1;1;1;1;1;1
baseline,20,70,1,cosine,green,11,97;2;2;1;1;1;1;1;1;1;1
baseline,20,70,1,cosine,blue,12,50;26;5;2;1;1;1;1;1;1;1;1
without_influencer,20,70,2,hybrid,red,8,129;14;7;2;2;1;1;1
without_influencer,20,70,2,hybrid,green,7,77;9;3;2;1;1;1
without_influencer,20,70,2,hybrid,blue,11,26;14;4;4;3;3;2;1;1;1;1
with_influencer,20,605,1,hybrid,red,5,46;24;14;11;2
with_influencer,20,605,1,hybrid,green,4,103;8;2;2
with_influencer,20,605,1,hybrid,blue,6,54;21;13;10;4;1
with_influencer,20,605,2,hybrid,red,5,39;31;18;16;7
with_influencer,20,605,2,hybrid,green,5,69;22;9;5;2
with_influencer,20,605,2,hybrid,blue,7,36;24;24;8;3;1;1
with_influencer,20,605,3,hybrid,red,3,44;15;11
with_influencer,20,605,3,hybrid,green,1,109
with_influencer,20,605,3,hybrid,blue,5,78;25;22;10;1
without_influencer,20,70,1,hybrid,red,5,69;28;13;6;3
without_influencer,20,70,1,hybrid,green,5,97;23;2;1;1
without_influencer,20,70,1,hybrid,blue,6,22;22;16;6;1;1
without_influencer,20,70,3,hybrid,red,9,109;12;6;4;2;1;1;1;1
without_influencer,20,70,3,hybrid,green,8,87;9;3;2;2;1;1;1
without_influencer,20,70,3,hybrid,blue,13,25;18;12;3;2;1;1;1;1;1;1;1;1
with_influencer,20,70,1,hybrid,red,3,98;6;5
with_influencer,20,70,1,hybrid,green,2,107;15
with_influencer,20,70,1,hybrid,blue,5,25;25;22;5;3
with_influencer,20,70,2,hybrid,red,5,81;23;12;5;1
with_influencer,20,70,2,hybrid,green,2,105;20
with_influencer,20,70,2,hybrid,blue,5,23;19;17;4;1
with_influencer,20,70,3,hybrid,red,4,138;15;9;1
with_influencer,20,70,3,hybrid,green,3,87;6;3
with_influencer,20,70,3,hybrid,blue,4,29;11;10;2
baseline,40,42,1,cosine,red,52,211;36;36;21;16;14;5;4;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
baseline,40,42,1,cosine,green,43,325;40;12;7;6;4;4;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
baseline,40,42,1,cosine,blue,43,183;77;31;19;10;7;7;6;5;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
baseline,40,11,1,cosine,red,53,255;63;16;14;4;4;4;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
baseline,40,11,1,cosine,green,43,177;146;56;8;4;4;4;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
baseline,40,11,1,cosine,blue,41,99;95;62;34;23;21;21;7;4;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
baseline,40,20,1,cosine,red,48,143;110;60;10;10;7;5;4;4;3;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
baseline,40,20,1,cosine,green,45,159;47;47;40;31;8;6;4;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
baseline,40,20,1,cosine,blue,42,161;106;70;27;24;5;4;4;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,42,1,hybrid,red,14,124;76;58;39;19;15;15;8;5;4;3;3;1;1
without_influencer,40,42,1,hybrid,green,19,139;92;57;32;32;28;26;25;13;7;6;6;5;5;2;2;2;1;1
