variant,size,seed,layers,similarity,step,moves,tau,entropy,gini,drift
without_influencer,40,22,1,hybrid,16,0,0.668125,0.379269,0.176016,0.014570
without_influencer,40,22,3,hybrid,16,0,0.683003,0.647310,0.293424,0.007215
with_influencer,40,17,2,hybrid,16,4,0.689022,0.219616,0.102356,0.036787
with_influencer,40,17,3,hybrid,16,4,0.686104,0.246067,0.114884,0.023697
without_influencer,40,22,2,hybrid,16,0,0.674245,0.521202,0.237431,0.006610
with_influencer,40,22,1,hybrid,16,8,0.712161,0.161582,0.075022,0.023647
with_influencer,40,22,2,hybrid,16,5,0.670169,0.289053,0.134881,0.024335
without_influencer,40,605,1,hybrid,16,0,0.673172,0.353796,0.164905,0.014444
with_influencer,40,22,3,hybrid,16,6,0.698527,0.209652,0.098736,0.022896
without_influencer,40,605,2,hybrid,16,0,0.666577,0.567191,0.255253,0.008001
without_influencer,40,605,3,hybrid,16,0,0.679671,0.637578,0.286284,0.003111
with_influencer,40,605,1,hybrid,16,11,0.703291,0.202291,0.093827,0.021844
with_influencer,40,605,2,hybrid,16,4,0.677644,0.248490,0.116224,0.029749
without_influencer,40,70,1,hybrid,16,0,0.666538,0.381579,0.177142,0.016047
with_influencer,40,605,3,hybrid,16,8,0.704697,0.173877,0.081651,0.034450
without_influencer,40,70,2,hybrid,16,0,0.668330,0.562069,0.256871,0.007261
without_influencer,40,70,3,hybrid,16,0,0.677556,0.683952,0.309539,0.005096
with_influencer,40,70,1,hybrid,16,3,0.686476,0.236318,0.109964,0.019371
with_influencer,40,70,2,hybrid,16,6,0.683967,0.219983,0.102878,0.038544
with_influencer,40,70,3,hybrid,16,3,0.687184,0.247944,0.115652,0.022638
baseline,60,11,1,cosine,16,988,0.833333,0.507874,0.220196,0.000000
baseline,60,42,1,cosine,16,874,0.833333,0.415815,0.181371,0.000000
baseline,60,20,1,cosine,16,908,0.750000,0.397298,0.174731,0.000000
baseline,60,17,1,cosine,16,976,0.800000,0.432555,0.189259,0.000000
without_influencer,60,11,3,hybrid,16,0,0.676873,0.685731,0.309252,0.006931
without_influencer,60,42,1,hybrid,16,0,0.674060,0.343655,0.160071,0.013614
without_influencer,60,11,1,hybrid,16,0,0.667881,0.383574,0.178350,0.012940
without_influencer,60,11,2,hybrid,16,0,0.668144,0.587594,0.266075,0.006701
with_influencer,60,11,1,hybrid,16,8,0.669669,0.280445,0.129513,0.021555
without_influencer,60,42,3,hybrid,16,0,0.678181,0.667255,0.301073,0.006760
with_influencer,60,11,3,hybrid,16,1,0.658544,0.344298,0.159481,0.012556
with_influencer,60,11,2,hybrid,16,6,0.652742,0.346530,0.160845,0.020150
with_influencer,60,42,2,hybrid,16,9,0.681572,0.256943,0.119442,0.028339
without_influencer,60,20,2,hybrid,16,0,0.671548,0.557865,0.253828,0.009439
