variant,size,layers,final_entropy_mean,final_entropy_std,final_gini_mean,final_gini_std,final_drift_mean,final_drift_std,final_moves_mean,final_moves_std,total_clusters_mean,total_clusters_std,frac_largest_red_mean,frac_largest_green_mean,frac_largest_blue_mean
baseline,20,1,0.4128307142857143,0.07108410437107648,0.18156442857142857,0.03009218595060376,0.0,0.0,101.71428571428571,3.6384193323605825,32.42857142857143,6.1334368521284715,0.5921894285714285,0.7390892857142857,0.7205615714285714
baseline,40,1,0.4130008571428571,0.05204134950347517,0.18076485714285714,0.02183049182091088,0.0,0.0,417.2857142857143,10.750415274370967,127.42857142857143,18.653481738066514,0.46579871428571423,0.541754,0.3235212857142857
baseline,60,1,0.43074757142857145,0.04552177378594829,0.18807785714285716,0.018999357264817943,0.0,0.0,939.1428571428571,42.56535591075828,279.0,23.65022903342235,0.2546124285714286,0.24027457142857142,0.2804265714285714
baseline,80,1,0.4209664285714286,0.03167269191726074,0.184103,0.013034812925393295,0.0,0.0,1683.4285714285713,35.92518681397565,485.14285714285717,26.23247714461707,0.18559814285714285,0.20924657142857142,0.2680261428571429
baseline,100,1,0.4153181428571429,0.035178199235836254,0.18197785714285716,0.014888143811196113,0.0,0.0,2614.4285714285716,63.59731950026708,743.8571428571429,76.44917390316387,0.19104414285714286,0.18976514285714283,0.22825
baseline,120,1,0.4311865714285714,0.012621096463951972,0.18819,0.005285027183783765,0.0,0.0,3727.285714285714,93.9356415952154,1018.8571428571429,55.74773110907318,0.14617314285714286,0.10823214285714286,0.16221542857142857
baseline,140,1,0.4408042857142857,0.02707642998817906,0.19215457142857142,0.011109807571948052,0.0,0.0,5067.571428571428,62.139244558376376,1413.7142857142858,80.28016418708148,0.11189228571428571,0.14118371428571427,0.10361028571428572
with_influencer,20,1,0.27534800000000004,0.09060430925918113,0.12830071428571427,0.04234028806276707,0.018756714285714286,0.005128974612086569,1.5714285714285714,2.370453040886408,14.142857142857142,2.2677868380553634,0.4869505714285714,0.5750054285714287,0.5167994285714286
with_influencer,20,2,0.295372,0.10308089518269943,0.13750485714285715,0.04720332682282952,0.02665957142857143,0.010025741067491267,1.0,1.1547005383792515,13.285714285714286,3.147183169877773,0.4671095714285714,0.6558178571428571,0.5239734285714286
with_influencer,20,3,0.2892302857142857,0.09013303868488752,0.135062,0.041864740080406575,0.02078414285714286,0.011066021830037078,0.8571428571428571,0.6900655593423541,10.571428571428571,2.9920529661723823,0.5757245714285714,0.710598,0.6574001428571429
with_influencer,40,1,0.19632985714285714,0.03583734955986828,0.09144285714285715,0.01673702299722157,0.021795142857142857,0.001634098775938533,9.142857142857142,5.3363086938623105,36.42857142857143,3.552329886011097,0.35538200000000003,0.37290957142857145,0.33899128571428566
with_influencer,40,2,0.24907128571428575,0.043989339646912505,0.11641757142857144,0.020235024313115642,0.029831142857142858,0.007271216207957039,4.285714285714286,1.2535663410560174,34.714285714285715,5.313952882562588,0.4378697142857143,0.4178698571428571,0.4198961428571429
