variant,size,seed,layers,similarity,run_tag,final_step,final_moves,final_tau,final_entropy,final_gini,final_drift,n_steps,auc_moves,auc_tau,auc_entropy,auc_gini,auc_drift,first_zero_moves_step,stable_moves_step,stable_tau_step,stable_entropy_step,stable_gini_step,stable_drift_step,delta_moves_last,delta_tau_last,delta_entropy_last,delta_gini_last,delta_drift_last,total_clusters,num_clusters_red,num_clusters_green,num_clusters_blue,largest_red,largest_green,largest_blue,total_red,total_green,total_blue,frac_largest_red,frac_largest_green,frac_largest_blue
baseline,120,42,1,cosine,baseline_size120_seed42_L1_cosine,12,3808,0.8,0.444555,0.193626,0.0,12,45210.0,8.263095,6.7124,2.9464420000000002,0.0,,,11.0,,,2.0,-44.0,0.0,-0.01224200000000003,-0.005059000000000008,0.0,1053,346,359,348,604,484,1084,3713,3744,3796,0.162672,0.129274,0.285564
baseline,120,70,1,cosine,baseline_size120_seed70_L1_cosine,12,3746,0.75,0.407433,0.178227,0.0,12,44402.0,8.234523,6.562003,2.884471,0.0,,,,,,2.0,-54.0,-0.08333299999999999,-0.08190200000000003,-0.034714999999999996,0.0,949,295,340,314,599,460,415,3695,3787,3746,0.162111,0.121468,0.110785
baseline,120,605,1,cosine,baseline_size120_seed605_L1_cosine,12,3765,0.8,0.430769,0.188118,0.0,12,44367.0,8.25119,6.616724,2.9066779999999994,0.0,,,7.0,,,2.0,100.0,-0.033332999999999946,-0.027117000000000002,-0.010602,0.0,1076,360,367,349,409,443,548,3651,3704,3821,0.112024,0.1196,0.143418
baseline,140,11,1,cosine,baseline_size140_seed11_L1_cosine,12,5065,0.833333,0.468078,0.203574,0.0,12,59585.0,8.198809,6.664701,2.92976,0.0,,,5.0,,,2.0,84.0,0.08333299999999999,0.06014599999999998,0.024503999999999998,0.0,1497,494,506,497,348,405,519,5070,5023,5180,0.068639,0.080629,0.100193
baseline,140,17,1,cosine,baseline_size140_seed17_L1_cosine,12,5127,0.8,0.427042,0.186494,0.0,12,60240.0,8.263095,6.596728000000001,2.89786,0.0,,,11.0,,,2.0,-119.0,0.0,-0.026885000000000048,-0.011497000000000007,0.0,1356,469,442,445,713,1275,420,5162,5156,4914,0.138125,0.247285,0.08547
baseline,140,20,1,cosine,baseline_size140_seed20_L1_cosine,12,5037,0.8,0.427476,0.186398,0.0,12,60742.0,8.263095,6.654780000000001,2.9190800000000006,0.0,,,11.0,,,2.0,-241.0,0.0,-0.023103999999999958,-0.010030999999999984,0.0,1392,476,454,462,928,792,545,4980,5173,5138,0.186345,0.153103,0.106072
baseline,140,22,1,cosine,baseline_size140_seed22_L1_cosine,12,5011,0.75,0.393877,0.173085,0.0,12,60786.0,8.234523,6.6075099999999996,2.906316,0.0,,,,,,2.0,-224.0,-0.08333299999999999,-0.08907400000000004,-0.036871000000000015,0.0,1276,437,413,426,442,302,427,5026,5134,5116,0.087943,0.058824,0.083464
baseline,140,42,1,cosine,baseline_size140_seed42_L1_cosine,12,5010,0.833333,0.465899,0.202203,0.0,12,60636.0,8.160713999999999,6.767869,2.970743,0.0,,,5.0,,,2.0,12.0,0.08333299999999999,0.061119000000000034,0.024748999999999993,0.0,1454,471,493,490,495,816,330,5082,5116,5168,0.097403,0.1595,0.063854
baseline,140,70,1,cosine,baseline_size140_seed70_L1_cosine,12,5176,0.8,0.441102,0.192209,0.0,12,60607.0,8.284523,6.606702,2.900715,0.0,,,12.0,,,2.0,-89.0,0.0,-0.017230000000000023,-0.007286000000000015,0.0,1422,464,487,471,588,619,509,5068,5122,5102,0.116022,0.120851,0.099765
baseline,140,605,1,cosine,baseline_size140_seed605_L1_cosine,12,5047,0.833333,0.462156,0.201119,0.0,12,60072.0,8.267856,6.576926,2.891991,0.0,,,,,,2.0,-59.0,0.08333299999999999,0.05581400000000003,0.022362999999999994,0.0,1499,515,510,474,445,844,969,5013,5021,5197,0.088769,0.168094,0.186454
with_influencer,20,11,1,hybrid,with_influencer_size20_seed11_L1_hybrid,16,0,0.645452,0.327268,0.152107,0.015694,16,182.0,8.682622,6.702434,3.079997,1.189975,6.0,7.0,,10.0,10.0,,0.0,0.00342600000000004,0.0,0.0,-0.004698000000000001,16,6,4,6,37,71,26,98,106,105,0.377551,0.669811,0.247619
with_influencer,20,11,2,hybrid,with_influencer_size20_seed11_L2_hybrid,16,1,0.623473,0.437686,0.202312,0.013183,16,60.0,9.082239000000001,8.737251,4.0110790000000005,1.073043,3.0,9.0,,11.0,11.0,,0.0,0.002043000000000017,-0.004792999999999992,-0.0021680000000000033,0.0005800000000000007,18,7,5,6,42,41,41,95,111,103,0.442105,0.369369,0.398058
with_influencer,20,11,3,hybrid,with_influencer_size20_seed11_L3_hybrid,16,1,0.656543,0.356522,0.165144,0.014064,16,33.0,9.58128,8.307032,3.805323,1.199734,7.0,4.0,,,,,1.0,0.0028289999999999704,-0.0035169999999999924,-0.0018189999999999873,-0.001684999999999999,13,4,3,6,56,118,19,99,137,73,0.565657,0.861314,0.260274
with_influencer,20,17,1,hybrid,with_influencer_size20_seed17_L1_hybrid,16,0,0.65343,0.350768,0.162582,0.015584,16,182.0,8.754317,7.353242,3.393685,1.2137669999999998,4.0,5.0,,10.0,10.0,,-1.0,0.002597999999999989,0.0,0.0,-0.003959999999999998,16,6,6,4,48,27,46,107,120,93,0.448598,0.225,0.494624
with_influencer,20,17,2,hybrid,with_influencer_size20_seed17_L2_hybrid,16,1,0.669531,0.265096,0.124513,0.028232,16,60.0,9.470923,7.1522689999999995,3.279333,1.2584590000000002,4.0,7.0,,13.0,13.0,,0.0,0.0027840000000000087,-0.014778999999999987,-0.006809999999999997,0.007415999999999999,11,4,3,4,55,92,29,101,152,67,0.544554,0.605263,0.432836
with_influencer,20,17,3,hybrid,with_influencer_size20_seed17_L3_hybrid,16,0,0.672886,0.283729,0.132729,0.010914,16,32.0,9.865313,6.987708,3.218369,1.1810779999999999,7.0,9.0,,10.0,10.0,,0.0,0.0011339999999999684,-0.003373999999999988,-0.001693,0.00045899999999999934,8,3,3,2,53,87,60,99,144,77,0.535354,0.604167,0.779221
with_influencer,20,20,1,hybrid,with_influencer_size20_seed20_L1_hybrid,16,5,0.676941,0.282762,0.131768,0.018755,16,195.0,9.020133,6.567699,3.023065,1.262208,,7.0,,,,,2.0,0.0035570000000000324,-0.014631999999999978,-0.005664000000000002,-0.0013609999999999976,12,4,5,3,32,66,98,71,101,153,0.450704,0.653465,0.640523
with_influencer,20,20,2,hybrid,with_influencer_size20_seed20_L2_hybrid,16,3,0.685674,0.240638,0.111265,0.035721,16,66.0,9.615362000000001,7.217066,3.3152109999999997,1.306895,9.0,8.0,,,,,2.0,0.005596999999999963,-0.013891000000000014,-0.006668999999999994,0.007843000000000003,11,6,3,2,17,113,94,38,133,154,0.447368,0.849624,0.61039
with_influencer,20,20,3,hybrid,with_influencer_size20_seed20_L3_hybrid,16,1,0.711748,0.157289,0.072938,0.03425,16,40.0,10.225919000000001,6.0167,2.7632309999999998,1.3458700000000001,10.0,4.0,,,,,-1.0,0.0046599999999999975,-0.0035389999999999866,-0.0018210000000000032,-0.009709999999999996,6,3,2,1,25,76,190,35,100,190,0.714286,0.76,1.0
with_influencer,20,22,1,hybrid,with_influencer_size20_seed22_L1_hybrid,16,5,0.719212,0.12946,0.060745,0.027794,16,253.0,9.584239,4.123401,1.904853,1.378805,,7.0,,,,,-2.0,0.0023819999999999952,-0.01913300000000001,-0.008237000000000001,-0.0007710000000000009,15,6,6,3,42,34,54,105,91,103,0.4,0.373626,0.524272
with_influencer,20,22,2,hybrid,with_influencer_size20_seed22_L2_hybrid,16,2,0.712749,0.156366,0.074634,0.040093,16,86.0,9.946383,5.079745,2.344835,1.415807,8.0,6.0,,13.0,13.0,,1.0,0.004500999999999977,-0.010693999999999981,-0.004945999999999992,-0.0001850000000000046,14,5,4,5,36,68,62,96,87,116,0.375,0.781609,0.534483
with_influencer,20,22,3,hybrid,with_influencer_size20_seed22_L3_hybrid,16,2,0.678471,0.251231,0.118285,0.036189,16,45.0,9.759143,7.197057,3.263101,1.271324,6.0,3.0,,,,,1.0,0.007563000000000097,-0.033530000000000004,-0.014166999999999985,0.002349999999999998,14,5,6,3,49,47,50,118,93,88,0.415254,0.505376,0.568182
with_influencer,20,42,1,hybrid,with_influencer_size20_seed42_L1_hybrid,16,0,0.664707,0.306457,0.143473,0.012907,16,170.0,8.908661,6.661045,3.078086,1.203643,5.0,6.0,,14.0,14.0,,0.0,0.003786000000000067,0.0,0.0,-0.003339,15,6,6,3,38,38,90,106,115,103,0.358491,0.330435,0.873786
with_influencer,20,42,2,hybrid,with_influencer_size20_seed42_L2_hybrid,16,0,0.668535,0.300589,0.13914,0.016535,16,63.0,9.551367,7.2407960000000005,3.293549,1.214343,7.0,8.0,,13.0,13.0,,0.0,0.002553999999999945,-0.0009779999999999789,-0.0009589999999999876,-0.0005789999999999997,10,5,3,2,49,55,100,110,110,104,0.445455,0.5,0.961538
with_influencer,20,42,3,hybrid,with_influencer_size20_seed42_L3_hybrid,16,0,0.645809,0.444791,0.207439,0.009143,16,23.0,9.627862,9.125112,4.181516,1.131022,7.0,5.0,,13.0,13.0,,-1.0,0.0003009999999999957,0.0,0.0,0.0008029999999999999,13,4,6,3,36,30,107,111,89,124,0.324324,0.337079,0.862903
with_influencer,20,70,1,hybrid,with_influencer_size20_seed70_L1_hybrid,16,0,0.718624,0.169534,0.078074,0.017294,16,212.0,9.368044,4.608795,2.091166,1.3352629999999999,13.0,9.0,,14.0,14.0,,0.0,0.0021700000000000053,0.0,0.0,-0.0035819999999999984,10,3,2,5,98,107,25,109,122,80,0.899083,0.877049,0.3125
with_influencer,20,70,2,hybrid,with_influencer_size20_seed70_L2_hybrid,16,0,0.685562,0.240573,0.112205,0.031614,16,85.0,9.799140000000001,5.940417,2.736548,1.2549890000000001,6.0,8.0,,16.0,16.0,,0.0,0.00390299999999999,0.0,0.0,0.0041680000000000016,12,5,2,5,81,105,23,122,125,64,0.663934,0.84,0.359375
with_influencer,20,70,3,hybrid,with_influencer_size20_seed70_L3_hybrid,16,1,0.679902,0.267748,0.125167,0.016117,16,35.0,9.94872,6.904878,3.1687839999999996,1.2344009999999999,8.0,4.0,,,,,1.0,0.0035610000000000364,-0.005323000000000022,-0.0025199999999999945,-0.006058000000000001,11,4,3,4,138,87,29,163,96,52,0.846626,0.90625,0.557692
with_influencer,20,605,1,hybrid,with_influencer_size20_seed605_L1_hybrid,16,1,0.63074,0.361187,0.169356,0.023269,16,165.0,8.368786,7.958559999999999,3.666666,1.218164,6.0,7.0,,,,,1.0,0.0034839999999999316,-0.007382,-0.0034089999999999954,-0.0009459999999999989,15,5,4,6,46,103,54,97,115,103,0.474227,0.895652,0.524272
with_influencer,20,605,2,hybrid,with_influencer_size20_seed605_L2_hybrid,16,0,0.624044,0.426656,0.198465,0.021239,16,49.0,8.813203999999999,10.253354999999999,4.658424,1.253432,4.0,8.0,,,,,-1.0,0.00543400000000005,-0.0012060000000000404,-0.00011300000000000199,-0.0069739999999999976,17,5,5,7,39,69,36,111,107,97,0.351351,0.64486,0.371134
with_influencer,20,605,3,hybrid,with_influencer_size20_seed605_L3_hybrid,16,1,0.670137,0.263302,0.123732,0.024812,16,30.0,9.536589,8.892011,4.064454,1.3011460000000001,8.0,10.0,,,,,1.0,0.004345999999999961,-0.01217600000000002,-0.0053409999999999985,0.001348000000000002,9,3,1,5,44,109,78,70,109,136,0.628571,1.0,0.573529
with_influencer,40,11,1,hybrid,with_influencer_size40_seed11_L1_hybrid,16,4,0.684061,0.247928,0.115886,0.019889,16,910.0,9.065109,5.632362,2.6008950000000004,1.273098,,10.0,,,,,-5.0,0.005095000000000072,-0.005181999999999992,-0.002366999999999994,-0.0014400000000000003,39,15,16,8,101,161,210,395,460,417,0.255696,0.35,0.503597
with_influencer,40,11,2,hybrid,with_influencer_size40_seed11_L2_hybrid,16,5,0.663163,0.306959,0.142624,0.020438,16,296.0,9.505194,7.090871,3.2394559999999997,1.2115529999999999,15.0,9.0,,,,,5.0,0.0023639999999999217,-0.009190000000000031,-0.0039939999999999976,0.002610000000000001,35,13,13,9,141,159,191,446,430,396,0.316143,0.369767,0.482323
with_influencer,40,11,3,hybrid,with_influencer_size40_seed11_L3_hybrid,16,5,0.671306,0.303264,0.141367,0.021168,16,133.0,9.799502,7.461814,3.417568,1.2137419999999999,,6.0,,,,,2.0,0.0034719999999999196,-0.008607000000000031,-0.003814000000000012,-0.0011110000000000009,29,10,11,8,148,224,153,447,495,330,0.331096,0.452525,0.463636
with_influencer,40,17,1,hybrid,with_influencer_size40_seed17_L1_hybrid,16,11,0.717122,0.152328,0.071365,0.021779,16,965.0,9.553241,4.291695,1.9805830000000002,1.330387,,,,,,,-3.0,0.0021740000000000093,-0.005203000000000013,-0.0022709999999999952,-0.0010770000000000016,30,10,11,9,177,93,130,396,457,392,0.44697,0.203501,0.331633
with_influencer,40,17,2,hybrid,with_influencer_size40_seed17_L2_hybrid,16,4,0.689022,0.219616,0.102356,0.036787,16,328.0,9.702943,6.205548,2.8430560000000002,1.3265980000000002,,10.0,,,,,-2.0,0.003954000000000013,-0.005112000000000005,-0.0024359999999999937,0.004715999999999998,31,11,11,9,213,164,222,411,433,401,0.518248,0.378753,0.553616
with_influencer,40,17,3,hybrid,with_influencer_size40_seed17_L3_hybrid,16,4,0.686104,0.246067,0.114884,0.023697,16,153.0,9.981606,6.5606029999999995,3.0014330000000005,1.218005,,12.0,,,,,-2.0,0.003847000000000045,-0.009623999999999994,-0.004562999999999998,0.0002599999999999998,25,10,7,8,133,254,112,399,432,414,0.333333,0.587963,0.270531
with_influencer,40,20,1,hybrid,with_influencer_size40_seed20_L1_hybrid,16,19,0.709742,0.180272,0.083652,0.022807,16,1038.0,9.450387,4.626709,2.131194,1.315933,,10.0,,,,,2.0,0.0025399999999999867,-0.005713000000000024,-0.003030999999999992,-0.0002470000000000007,37,12,13,12,188,111,121,436,377,432,0.431193,0.29443,0.280093
with_influencer,40,20,2,hybrid,with_influencer_size40_seed20_L2_hybrid,16,4,0.702776,0.183894,0.086701,0.035575,16,439.0,9.87107,5.534345,2.549608,1.39853,,7.0,,,,,-1.0,0.004652999999999907,-0.0050050000000000094,-0.0024119999999999975,-0.0033329999999999957,31,8,14,9,166,127,244,384,387,474,0.432292,0.328165,0.514768
with_influencer,40,20,3,hybrid,with_influencer_size40_seed20_L3_hybrid,16,8,0.699253,0.196262,0.091399,0.032587,16,195.0,10.099747,6.139358999999999,2.805755,1.285943,,7.0,,,,,4.0,0.003952000000000067,-0.011789999999999995,-0.005396000000000012,0.0012630000000000002,30,12,11,7,163,119,252,405,317,523,0.402469,0.375394,0.481836
with_influencer,40,22,1,hybrid,with_influencer_size40_seed22_L1_hybrid,16,8,0.712161,0.161582,0.075022,0.023647,16,985.0,9.346895,4.904144,2.247149,1.357277,,7.0,,,,,-5.0,0.0035880000000000356,-0.010011999999999993,-0.004451999999999998,-0.0023479999999999994,35,11,12,12,156,185,124,412,438,391,0.378641,0.422374,0.317136
