variant,size,layers,step,moves_n,moves_mean,moves_std,moves_median,moves_min,moves_max,moves_ci95,tau_n,tau_mean,tau_std,tau_median,tau_min,tau_max,tau_ci95,entropy_n,entropy_mean,entropy_std,entropy_median,entropy_min,entropy_max,entropy_ci95,gini_n,gini_mean,gini_std,gini_median,gini_min,gini_max,gini_ci95,drift_n,drift_mean,drift_std,drift_median,drift_min,drift_max,drift_ci95
baseline,20,1,11,7,100.85714285714286,2.1157009420498127,101.0,98,104,1.5673331915496886,7,0.8153061428571429,0.09048515199086267,0.8,0.75,1.0,0.06703233866327704,7,0.4587152857142857,0.04883635285902737,0.460668,0.388877,0.530329,0.036178476489227694,7,0.20105842857142855,0.022086348037171008,0.201036,0.172144,0.234173,0.01636179559727273,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,20,1,12,7,104.57142857142857,4.035556254807297,104.0,97,109,2.9895819105687673,7,0.7829931428571429,0.04572460177493284,0.8,0.714286,0.833333,0.03387325902630176,7,0.4444044285714286,0.0499905217511518,0.441616,0.364135,0.499989,0.037033496769895584,7,0.19470042857142858,0.02062238310555743,0.194664,0.161925,0.217492,0.015277275198865355,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,20,1,13,7,103.57142857142857,6.2411842588070545,104.0,95,112,4.6235340018936455,7,0.7833332857142857,0.03333325000013392,0.8,0.75,0.833333,0.024693617169171473,7,0.43058928571428573,0.040207615384461215,0.411663,0.394777,0.482012,0.029786218313101336,7,0.1893022857142857,0.017626887168133105,0.179914,0.172876,0.212564,0.013058180753821213,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,20,1,14,7,102.85714285714286,2.544836041121406,104.0,99,106,1.8852409218275874,7,0.7928569999999999,0.041785383257785254,0.8,0.75,0.833333,0.030955045110534075,7,0.43399985714285716,0.03434386345199859,0.435023,0.375977,0.473243,0.025442290091441586,7,0.19105985714285717,0.013828230477644539,0.188577,0.167201,0.206136,0.010244096496460783,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,20,1,15,7,102.28571428571429,3.6384193323605865,103.0,96,107,2.695378761262815,7,0.7833332857142857,0.03333325000013393,0.8,0.75,0.833333,0.024693617169171473,7,0.4024305714285714,0.0411003766116449,0.4091,0.344769,0.459479,0.030447585085542232,7,0.17698857142857144,0.01730456443501871,0.17883,0.154345,0.200301,0.012819400731578678,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,20,1,16,7,101.71428571428571,3.6384193323605825,102.0,97,108,2.695378761262815,7,0.812925,0.043856372836035246,0.833333,0.75,0.857143,0.03248925566025379,7,0.4128307142857143,0.07108410437107648,0.435166,0.323745,0.525187,0.052659841453975766,7,0.18156442857142857,0.03009218595060376,0.19117,0.145075,0.229353,0.022292603320850615,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,40,1,1,7,388.42857142857144,27.299921506951534,397.0,338,416,20.224064873313672,7,0.24285714285714285,0.018898223650461357,0.25,0.2,0.25,0.013999999999999997,7,1.0532042857142856,0.025338601663037693,1.051907,1.013412,1.090385,0.01877109879974707,7,0.464933,0.009770064977607204,0.466904,0.44889,0.479503,0.007237765422633334,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,40,1,2,7,407.42857142857144,14.976171549688996,411.0,390,433,11.094503143449009,7,0.4204078571428571,0.013941220492106247,0.428571,0.4,0.428571,0.01032780067055258,7,0.6928068571428572,0.03442536319551116,0.686769,0.653537,0.749158,0.02550266594635155,7,0.31458928571428574,0.014749382017724062,0.31353,0.296834,0.338458,0.010926495107020057,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,40,1,3,7,403.57142857142856,8.403514004215591,407.0,386,411,6.2254102943768554,7,0.629762,0.02757880004036917,0.625,0.6,0.666667,0.020430660982030585,7,0.5283178571428572,0.04398384307306707,0.533134,0.471571,0.593147,0.03258368693334339,7,0.23492085714285715,0.01849452579754859,0.241233,0.209934,0.260981,0.013700936445386985,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,40,1,4,7,404.14285714285717,19.844634635324578,406.0,378,432,14.70111106912218,7,0.7418368571428572,0.03125169616425417,0.75,0.714286,0.8,0.023151580507878956,7,0.5677087142857143,0.0413990431278884,0.577107,0.518176,0.641024,0.030668840337080477,7,0.24786485714285714,0.017765471693039568,0.251939,0.226353,0.279534,0.013160845606591294,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,40,1,5,7,416.0,11.532562594670797,418.0,396,431,8.54344192933972,7,0.7227892857142857,0.03051747442976611,0.714286,0.666667,0.75,0.022607661435221468,7,0.48938842857142856,0.04399663710200717,0.487554,0.414863,0.555478,0.03259316488261919,7,0.21473899999999999,0.017398062190945283,0.213397,0.186129,0.240496,0.012888664838469495,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,40,1,6,7,419.0,13.94034911088432,427.0,392,428,10.327155142309683,7,0.7710884285714286,0.04104230733384412,0.75,0.714286,0.833333,0.030404566762537503,7,0.47934842857142856,0.045718181280744834,0.457056,0.429701,0.564738,0.03386850265764539,7,0.20955214285714288,0.019535993562555004,0.199936,0.187765,0.245586,0.014472466562702204,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,40,1,7,7,418.7142857142857,6.369570517030849,418.0,410,431,4.71864387297876,7,0.7782312857142858,0.04111131278498368,0.8,0.714286,0.833333,0.030455686716127976,7,0.45731428571428573,0.040688106672238135,0.458469,0.413278,0.533536,0.030142171240386786,7,0.20000042857142858,0.017146220116565476,0.20003,0.182935,0.232512,0.01270209761889744,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,40,1,8,7,418.57142857142856,11.816050423853461,413.0,407,437,8.75345265214437,7,0.7948978571428571,0.046543766913263354,0.8,0.714286,0.833333,0.03448010505314236,7,0.456959,0.0519206219210312,0.456362,0.383869,0.532338,0.038463334985280026,7,0.19942028571428572,0.021989951612151445,0.199283,0.168356,0.231837,0.016290384126267043,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,40,1,9,7,413.0,15.979153085609184,413.0,388,433,11.837522263266639,7,0.7829931428571429,0.045724601774932816,0.8,0.714286,0.833333,0.03387325902630176,7,0.4235067142857143,0.03350006622239369,0.424588,0.379488,0.467832,0.024817196356021632,7,0.18552514285714286,0.013928645189304097,0.186315,0.166811,0.203832,0.010318484755867344,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,40,1,10,7,417.85714285714283,20.276657938202167,421.0,392,443,15.021158410721858,7,0.817687,0.02344387071283234,0.8,0.8,0.857143,0.017367462468973388,7,0.4395384285714286,0.02994021434379489,0.434097,0.388864,0.48452,0.02218002117902205,7,0.19218200000000002,0.012453046829323867,0.189676,0.17108,0.210163,0.00922534619312106,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,40,1,11,7,413.57142857142856,14.057704208690966,410.0,400,435,10.41409301539665,7,0.7976190000000001,0.024397420498896996,0.8,0.75,0.833333,0.018073862036034248,7,0.42700842857142857,0.03232005751261975,0.433514,0.376679,0.465578,0.023943033670555055,7,0.1867607142857143,0.013752346608419059,0.189136,0.16427,0.202778,0.010187880939443034,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,40,1,12,7,417.2857142857143,13.912994953331532,415.0,400,435,10.306890898811336,7,0.815306,0.03525779739764429,0.833333,0.75,0.857143,0.02611934183321878,7,0.42827200000000004,0.02713040462900127,0.425894,0.386016,0.471285,0.020098485012730018,7,0.1872184285714286,0.010909550324633652,0.185677,0.169954,0.204532,0.008081907980866892,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,40,1,13,7,423.0,6.110100926607784,422.0,416,431,4.526426110446666,7,0.8190474285714285,0.017817237953333655,0.833333,0.8,0.833333,0.013199194588883044,7,0.44967285714285715,0.03084256030459951,0.461988,0.387959,0.478932,0.022848488421495197,7,0.19599071428571427,0.012966000047743925,0.201365,0.169504,0.207277,0.009605347255162966,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,40,1,14,7,409.85714285714283,12.253279444412309,408.0,396,429,9.077356443370503,7,0.7795918571428572,0.04153287128860934,0.75,0.75,0.857143,0.030767981625952217,7,0.40014957142857144,0.034463737168494164,0.392658,0.362644,0.459832,0.025531093783364104,7,0.17545785714285714,0.014276383382222212,0.171736,0.160881,0.200654,0.010576092814217041,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,40,1,15,7,411.2857142857143,16.10087249928075,415.0,388,434,11.927693266791643,7,0.8234692857142857,0.03765691605674528,0.833333,0.75,0.857143,0.02789663380777926,7,0.42086142857142855,0.036455280188458936,0.411612,0.364258,0.474701,0.027006449499075824,7,0.18409842857142858,0.01567331237972309,0.179664,0.160855,0.207882,0.011610952297665629,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,40,1,16,7,417.2857142857143,10.750415274370967,420.0,399,431,7.964019085863619,7,0.8081631428571429,0.0430738335242661,0.833333,0.75,0.857143,0.03190954242543338,7,0.4130008571428571,0.05204134950347517,0.426623,0.317255,0.462809,0.038552771229949205,7,0.18076485714285714,0.02183049182091088,0.187826,0.139211,0.200804,0.01617225465978074,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,60,1,1,7,869.2857142857143,20.48344279098191,864.0,851,911,15.174346773419932,7,0.25,0.0,0.25,0.25,0.25,0.0,7,1.0629579999999998,0.020641731702225538,1.061149,1.032815,1.089979,0.01529160883986595,7,0.46865900000000005,0.008548667381527944,0.469272,0.456843,0.480071,0.006332941421109155,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,60,1,2,7,938.5714285714286,38.31386669278344,960.0,874,978,28.38330964962801,7,0.4244894285714286,0.01079882295834662,0.428571,0.4,0.428571,0.007999879999999987,7,0.6997507142857142,0.027866340895509795,0.688725,0.671601,0.751508,0.02064367422848299,7,0.3173917142857143,0.012178542766060367,0.313129,0.306158,0.33976,0.00902199073724493,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,60,1,3,7,901.1428571428571,28.944939519880215,899.0,854,937,21.442711271354344,7,0.6178571428571429,0.012198750911856687,0.625,0.6,0.625,0.009036961141150646,7,0.535683,0.024555386388054733,0.536148,0.505897,0.578228,0.01819088480437019,7,0.23789257142857143,0.009975865557386386,0.237233,0.226186,0.255325,0.007390224625688548,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,60,1,4,7,911.0,26.70830083201351,917.0,869,946,19.785786143930025,7,0.739796,0.017426647602641968,0.75,0.714286,0.75,0.012909841207802166,7,0.5800465714285714,0.02738144028873781,0.592255,0.539048,0.603143,0.020284454831974157,7,0.25302414285714286,0.011142203483880129,0.257341,0.23622,0.262844,0.008254259853174802,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,60,1,5,7,933.7142857142857,37.91092316520525,943.0,864,968,28.084804907043,7,0.719388,0.013498623189051552,0.714286,0.714286,0.75,0.009999920000000004,7,0.508394,0.03428752572972665,0.511477,0.439386,0.54747,0.025400554522723842,7,0.22300914285714285,0.014507109951429236,0.225132,0.193427,0.239208,0.01074701744865058,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,60,1,6,7,934.2857142857143,35.77109767076526,919.0,888,976,26.499599996981082,7,0.7568027142857143,0.03627657700093494,0.75,0.714286,0.833333,0.026874064325124576,7,0.5110137142857143,0.03836487584025387,0.491493,0.4674,0.562496,0.028421097754890937,7,0.22314985714285715,0.016168886979098386,0.215392,0.204495,0.244871,0.011978079098553324,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,60,1,7,7,905.5714285714286,31.732512994598792,888.0,874,954,23.50777460047349,7,0.7418368571428572,0.03125169616425418,0.75,0.714286,0.8,0.023151580507878956,7,0.45263099999999995,0.04072953001611155,0.434203,0.419904,0.531404,0.030172858082968095,7,0.19855671428571428,0.016458531806880436,0.190917,0.185203,0.230097,0.012192650989750616,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,60,1,8,7,963.2857142857143,15.052289811567833,966.0,935,984,11.15089234097433,7,0.8119045714285714,0.0314968882317875,0.833333,0.75,0.833333,0.023333221333437862,7,0.5167801428571429,0.02029113876735833,0.523445,0.475442,0.536096,0.015031885959084898,7,0.224669,0.008365705210361334,0.227445,0.207861,0.232745,0.006197401147922145,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,60,1,9,7,954.8571428571429,18.880577069469844,957.0,931,980,13.986927229857649,7,0.7469388571428571,0.028825293935642576,0.75,0.714286,0.8,0.02135407658217358,7,0.4410297142857143,0.04467836142442366,0.42294,0.393641,0.513863,0.03309819332816821,7,0.1936854285714286,0.018848934513274598,0.185787,0.173575,0.224255,0.013963486096186726,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,60,1,10,7,933.8571428571429,21.8435999126256,935.0,896,962,16.181965270015873,7,0.8047617142857143,0.039339628229535836,0.833333,0.75,0.833333,0.029143204430224664,7,0.46734914285714285,0.029355989516216124,0.478327,0.411811,0.499441,0.021747221370035607,7,0.2038767142857143,0.012269941031022196,0.207397,0.180789,0.217737,0.00908969951946341,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,60,1,11,7,928.4285714285714,26.114217984699057,919.0,899,966,19.345683411724348,7,0.7761904285714286,0.03450318595848381,0.75,0.75,0.833333,0.025560317855957897,7,0.4327557142857143,0.03645927260983267,0.43228,0.389542,0.479511,0.02700940712621932,7,0.18966942857142857,0.014756100047744566,0.189335,0.171845,0.207833,0.010931471893305731,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,60,1,12,7,943.8571428571429,33.84980832751529,932.0,897,994,25.07628893330643,7,0.8119045714285714,0.0314968882317875,0.833333,0.75,0.833333,0.023333221333437862,7,0.46236828571428573,0.033863243670752545,0.465209,0.401068,0.509309,0.02508624197486211,7,0.20128042857142855,0.014337680656893136,0.201787,0.175676,0.221459,0.01062150247076812,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,60,1,13,7,934.7142857142857,26.20886800120831,933.0,896,968,19.4158011252004,7,0.7833332857142857,0.03333325000013392,0.8,0.75,0.833333,0.024693617169171473,7,0.4207077142857143,0.03172444531017203,0.431176,0.369936,0.465965,0.02350179797621167,7,0.18455157142857143,0.012698560349597947,0.188787,0.164812,0.202922,0.009407225154202843,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,60,1,14,7,924.4285714285714,31.764010781895607,927.0,881,976,23.531108487843632,7,0.8142855714285714,0.01781723795333366,0.8,0.8,0.833333,0.013199194588883044,7,0.43873557142857145,0.03231048081689665,0.425163,0.410289,0.498843,0.02393593915508086,7,0.19129114285714285,0.013402478358231261,0.185469,0.179053,0.215961,0.009928694912585438,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,60,1,15,7,929.5714285714286,18.919629514141675,932.0,903,957,14.015857685731069,7,0.8047617142857143,0.03933962822953584,0.833333,0.75,0.833333,0.029143204430224664,7,0.4353401428571429,0.03473537107631822,0.426642,0.378471,0.477206,0.025732322998335513,7,0.1904192857142857,0.014662837296083883,0.187537,0.166031,0.208159,0.010862381880011401,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,60,1,16,7,939.1428571428571,42.56535591075828,954.0,874,988,31.53285693790949,7,0.8047617142857143,0.03933962822953585,0.833333,0.75,0.833333,0.029143204430224664,7,0.43074757142857145,0.04552177378594829,0.432555,0.363891,0.507874,0.03372300194932435,7,0.18807785714285716,0.018999357264817943,0.189259,0.159908,0.220196,0.014074920829977456,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,80,1,1,7,1547.142857142857,29.38496538157211,1540.0,1510,1591,21.768686991486952,7,0.25,0.0,0.25,0.25,0.25,0.0,7,1.0690385714285715,0.007718052752198209,1.069215,1.055708,1.080317,0.005717613492638329,7,0.47054,0.0031425277511370783,0.470699,0.465189,0.475019,0.0023280171369357804,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,80,1,2,7,1648.4285714285713,83.9540690752135,1679.0,1534,1748,62.194044730986896,7,0.4204078571428571,0.01394122049210625,0.428571,0.4,0.428571,0.01032780067055258,7,0.7061497142857143,0.0172698624074261,0.703256,0.678484,0.730912,0.012793693109778743,7,0.32045814285714286,0.007861952311153846,0.319644,0.308403,0.332411,0.005824215777733519,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,80,1,3,7,1632.0,41.444742328390305,1652.0,1558,1674,30.702694778580376,7,0.6178571428571429,0.012198750911856678,0.625,0.6,0.625,0.009036961141150646,7,0.5397492857142857,0.027057813552430577,0.53781,0.506529,0.570937,0.020044708790647642,7,0.2396255714285714,0.010677976834855673,0.238402,0.227431,0.251668,0.007910355938894281,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,80,1,4,7,1606.142857142857,58.79747322073341,1576.0,1551,1719,43.55777772109133,7,0.7346940000000001,0.019089935987320665,0.75,0.714286,0.75,0.014142022486645969,7,0.574264,0.027756264025741433,0.566898,0.538625,0.607942,0.020562128142180874,7,0.2500375714285714,0.011860641787822755,0.24773,0.234642,0.264377,0.008786486396855869,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,80,1,5,7,1678.142857142857,65.49154798249053,1686.0,1564,1748,48.516817702730656,7,0.72449,0.01742664760264197,0.714286,0.714286,0.75,0.012909841207802166,7,0.5200251428571429,0.017621003371247727,0.522168,0.500131,0.547868,0.013053821976090623,7,0.2272937142857143,0.007732098178249884,0.228772,0.218475,0.239501,0.005728018489867734,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,80,1,6,7,1640.4285714285713,86.7272681895322,1623.0,1542,1748,64.24845938490147,7,0.7469388571428571,0.02882529393564255,0.75,0.714286,0.8,0.021354076582173576,7,0.4910734285714286,0.058424315311512605,0.494325,0.401714,0.578584,0.04328133847337594,7,0.21438628571428572,0.024355894000660884,0.216628,0.17684,0.250354,0.018043098775631643,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,80,1,7,7,1645.0,57.87630488089809,1660.0,1581,1713,42.87536666509881,7,0.7707482857142857,0.051520736681826454,0.75,0.714286,0.833333,0.03816709585442764,7,0.4804047142857143,0.05044636953806912,0.480371,0.411603,0.566781,0.037371193536262656,7,0.2095712857142857,0.02063003477710985,0.210316,0.181034,0.244789,0.015282943636477019,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,80,1,8,7,1628.0,35.92584956081994,1623.0,1588,1673,26.614241801461613,7,0.7710884285714286,0.041042307333844126,0.75,0.714286,0.833333,0.030404566762537503,7,0.45608714285714286,0.03578438488330055,0.455138,0.409258,0.501788,0.026509443301777062,7,0.1992054285714286,0.01492149517594381,0.198623,0.179636,0.218851,0.01105399831894324,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,80,1,9,7,1669.5714285714287,37.841146665400906,1667.0,1619,1731,28.033113752608124,7,0.7999998571428572,0.03726765055392577,0.8,0.75,0.833333,0.027608261887736907,7,0.46863414285714283,0.03740819094988231,0.457725,0.431405,0.524242,0.02771237567005759,7,0.2043752857142857,0.015453189344105046,0.19924,0.189444,0.22763,0.011447882870842684,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,80,1,10,7,1707.5714285714287,41.73270956478921,1734.0,1629,1741,30.916023892689264,7,0.795238,0.034310934287289034,0.8,0.75,0.833333,0.025417895824844876,7,0.4628734285714286,0.027236733876985206,0.453745,0.432058,0.504177,0.020177254821962275,7,0.20174471428571428,0.011351320579772298,0.198014,0.188916,0.218958,0.008409175965749163,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,80,1,11,7,1679.857142857143,28.451295057979106,1679.0,1651,1732,21.077014336317493,7,0.7904761428571428,0.03021082009495146,0.8,0.75,0.833333,0.022380488724875216,7,0.4337467142857143,0.03023297521864875,0.436694,0.404402,0.494057,0.02239690147019449,7,0.1894347142857143,0.012395036717900241,0.190702,0.176936,0.21406,0.009182371701181925,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,80,1,12,7,1661.7142857142858,46.517789735807106,1661.0,1602,1743,34.46086089077481,7,0.8119045714285714,0.031496888231787507,0.833333,0.75,0.833333,0.023333221333437862,7,0.439206,0.031092421263066636,0.429476,0.396544,0.485056,0.023033588009860724,7,0.19172071428571427,0.012969579622001196,0.187951,0.173855,0.210409,0.009607999040882548,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,80,1,13,7,1663.4285714285713,45.29848100049691,1643.0,1620,1738,33.55758433896377,7,0.7999998571428572,0.03726765055392577,0.8,0.75,0.833333,0.027608261887736907,7,0.4251572857142857,0.03751353236151048,0.411531,0.380047,0.481831,0.02779041367987649,7,0.18606642857142858,0.015563219491878322,0.180584,0.167684,0.209796,0.01152939434500645,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,80,1,14,7,1639.857142857143,60.70263193478125,1618.0,1560,1746,44.96913904742525,7,0.8095235714285715,0.04066234038951005,0.833333,0.75,0.833333,0.030123083311020243,7,0.42249042857142854,0.03133207360866893,0.416233,0.369031,0.465015,0.02321112495198225,7,0.18445657142857144,0.013200522146959989,0.182175,0.162127,0.202318,0.009779083657575832,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,80,1,15,7,1684.857142857143,33.14326764934607,1680.0,1642,1738,24.552876274142164,7,0.8224488571428571,0.022623478979654214,0.833333,0.8,0.857143,0.016759707767953453,7,0.4429092857142857,0.019180790405283848,0.441287,0.407558,0.469006,0.014209328381369757,7,0.19304614285714286,0.008117476997782237,0.192801,0.177994,0.204002,0.006013511114637322,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,80,1,16,7,1683.4285714285713,35.92518681397565,1673.0,1641,1747,26.613750831728574,7,0.8023808571428572,0.02793593388707198,0.8,0.75,0.833333,0.020695229438109638,7,0.4209664285714286,0.03167269191726074,0.434036,0.361634,0.456874,0.02346345852621049,7,0.184103,0.013034812925393295,0.189277,0.159932,0.199412,0.009656324548315474,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,100,1,1,7,2432.4285714285716,29.455373832614107,2424.0,2404,2487,21.82084630195019,7,0.25,0.0,0.25,0.25,0.25,0.0,7,1.0698557142857144,0.00846346150055805,1.070219,1.054793,1.083194,0.006269820021148916,7,0.47147700000000003,0.0030005211769513315,0.471457,0.466476,0.476314,0.002222817194582891,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,100,1,2,7,2668.714285714286,31.04681564838429,2662.0,2631,2729,22.999802897706175,7,0.428571,0.0,0.428571,0.428571,0.428571,4.4418171880010264e-17,7,0.7043877142857143,0.010805017410355961,0.709618,0.691,0.717789,0.008004468914267008,7,0.3198472857142857,0.004626762824923619,0.321262,0.314575,0.326391,0.0034275538668074442,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,100,1,3,7,2619.4285714285716,53.81715074477388,2636.0,2545,2699,39.86830319940892,7,0.625,0.0,0.625,0.625,0.625,0.0,7,0.5712262857142857,0.019386666773105375,0.57475,0.540411,0.591409,0.014361843728992454,7,0.25231442857142855,0.007981289366536012,0.253443,0.240117,0.261385,0.005912621905539595,7,0.0,0.0,0.0,0.0,0.0,0.0
baseline,100,1,4,7,2501.4285714285716,89.74567239864945,2519.0,2361,2602,66.48452451510802,7,0.7142860000000001,0.0,0.714286,0.714286,0.714286,8.883634376002053e-17,7,0.5536325714285714,0.024047805186455478,0.564393,0.510296,0.575222,0.017814863388081314,7,0.24173957142857144,0.010310639728894018,0.246341,0.223101,0.25128,0.00763822880257808,7,0.0,0.0,0.0,0.0,0.0,0.0
