variant,size,seed,layers,similarity,run_tag,step,moves,tau,entropy,gini,drift,metrics_file
baseline,20,20,1,cosine,baseline_size20_seed20_L1_cosine,3,104,0.6,0.428815,0.191167,0.0,outputs\size_sweep\metrics\baseline_size20_seed20_L1_cosine.csv
baseline,20,20,1,cosine,baseline_size20_seed20_L1_cosine,4,113,0.833333,0.608732,0.264077,0.0,outputs\size_sweep\metrics\baseline_size20_seed20_L1_cosine.csv
baseline,20,20,1,cosine,baseline_size20_seed20_L1_cosine,5,102,0.666667,0.392843,0.176344,0.0,outputs\size_sweep\metrics\baseline_size20_seed20_L1_cosine.csv
baseline,20,20,1,cosine,baseline_size20_seed20_L1_cosine,6,110,0.833333,0.570965,0.250649,0.0,outputs\size_sweep\metrics\baseline_size20_seed20_L1_cosine.csv
baseline,20,20,1,cosine,baseline_size20_seed20_L1_cosine,7,108,0.666667,0.422672,0.187136,0.0,outputs\size_sweep\metrics\baseline_size20_seed20_L1_cosine.csv
baseline,20,20,1,cosine,baseline_size20_seed20_L1_cosine,8,103,0.8,0.491965,0.215614,0.0,outputs\size_sweep\metrics\baseline_size20_seed20_L1_cosine.csv
baseline,20,20,1,cosine,baseline_size20_seed20_L1_cosine,9,105,0.75,0.459168,0.200893,0.0,outputs\size_sweep\metrics\baseline_size20_seed20_L1_cosine.csv
baseline,20,20,1,cosine,baseline_size20_seed20_L1_cosine,10,111,0.8,0.475643,0.207826,0.0,outputs\size_sweep\metrics\baseline_size20_seed20_L1_cosine.csv
baseline,20,20,1,cosine,baseline_size20_seed20_L1_cosine,11,101,0.75,0.388877,0.172144,0.0,outputs\size_sweep\metrics\baseline_size20_seed20_L1_cosine.csv
baseline,20,20,1,cosine,baseline_size20_seed20_L1_cosine,12,104,0.833333,0.48227,0.208712,0.0,outputs\size_sweep\metrics\baseline_size20_seed20_L1_cosine.csv
baseline,20,20,1,cosine,baseline_size20_seed20_L1_cosine,13,99,0.75,0.411663,0.179914,0.0,outputs\size_sweep\metrics\baseline_size20_seed20_L1_cosine.csv
baseline,20,20,1,cosine,baseline_size20_seed20_L1_cosine,14,106,0.833333,0.473243,0.206136,0.0,outputs\size_sweep\metrics\baseline_size20_seed20_L1_cosine.csv
baseline,20,20,1,cosine,baseline_size20_seed20_L1_cosine,15,105,0.75,0.441956,0.195298,0.0,outputs\size_sweep\metrics\baseline_size20_seed20_L1_cosine.csv
baseline,20,20,1,cosine,baseline_size20_seed20_L1_cosine,16,102,0.75,0.359883,0.158439,0.0,outputs\size_sweep\metrics\baseline_size20_seed20_L1_cosine.csv
baseline,20,22,1,cosine,baseline_size20_seed22_L1_cosine,1,100,0.25,1.015877,0.445603,0.0,outputs\size_sweep\metrics\baseline_size20_seed22_L1_cosine.csv
